date,demand
2022-12-28,16180
2022-12-29,16347
2022-12-30,15699
2022-12-31,15759
2023-01-01,10278
2023-01-02,10189
2023-01-03,10432
2023-01-04,10405
2023-01-05,10415
2023-01-06,10067
2023-01-07,10228
2023-01-08,9985
2023-01-09,10372
2023-01-10,10092
2023-01-11,10232
2023-01-12,10132
2023-01-13,10410
2023-01-14,10746
2023-01-15,9962
2023-01-16,10368
2023-01-17,10036
2023-01-18,10191
2023-01-19,9836
2023-01-20,10433
2023-01-21,10261
2023-01-22,9967
2023-01-23,10542
2023-01-24,9924
2023-01-25,10559
2023-01-26,10568
2023-01-27,10325
2023-01-28,10439
2023-01-29,9745
2023-01-30,9889
2023-01-31,10199
2023-02-01,11079
2023-02-02,11051
2023-02-03,10653
2023-02-04,10601
2023-02-05,11029
2023-02-06,10477
2023-02-07,10849
2023-02-08,10779
2023-02-09,10586
2023-02-10,10400
2023-02-11,10581
2023-02-12,10694
2023-02-13,10801
2023-02-14,10742
2023-02-15,10343
2023-02-16,10462
2023-02-17,10847
2023-02-18,10474
2023-02-19,10393
2023-02-20,10414
2023-02-21,10556
2023-02-22,11165
2023-02-23,10483
2023-02-24,10418
2023-02-25,10520
2023-02-26,10291
2023-02-27,10844
2023-02-28,10362
2023-03-01,11403
2023-03-02,11297
2023-03-03,11450
2023-03-04,11132
2023-03-05,11297
2023-03-06,11158
2023-03-07,11508
2023-03-08,11048
2023-03-09,11517
2023-03-10,11184
2023-03-11,11694
2023-03-12,11578
2023-03-13,11598
2023-03-14,11674
2023-03-15,11318
2023-03-16,11438
2023-03-17,11346
2023-03-18,11538
2023-03-19,11015
2023-03-20,11647
2023-03-21,11357
2023-03-22,11344
2023-03-23,11268
2023-03-24,11820
2023-03-25,11250
2023-03-26,11432
2023-03-27,11021
2023-03-28,11320
2023-03-29,11143
2023-03-30,11337
2023-03-31,11076
2023-04-01,11989
2023-04-02,11411
2023-04-03,11547
2023-04-04,11690
2023-04-05,11072
2023-04-06,12011
2023-04-07,11569
2023-04-08,11756
2023-04-09,11517
2023-04-10,11527
2023-04-11,11552
2023-04-12,11805
2023-04-13,12032
2023-04-14,11678
2023-04-15,11992
2023-04-16,11803
2023-04-17,11907
2023-04-18,11605
2023-04-19,12095
2023-04-20,12467
2023-04-21,11560
2023-04-22,11848
2023-04-23,11717
2023-04-24,11461
2023-04-25,11317
2023-04-26,11657
2023-04-27,11808
2023-04-28,11849
2023-04-29,11657
2023-04-30,11569
2023-05-01,11837
2023-05-02,12123
2023-05-03,12365
2023-05-04,11798
2023-05-05,12413
2023-05-06,11893
2023-05-07,12407
2023-05-08,12029
2023-05-09,12434
2023-05-10,11993
2023-05-11,12059
2023-05-12,12418
2023-05-13,11741
2023-05-14,12011
2023-05-15,11845
2023-05-16,11757
2023-05-17,12302
2023-05-18,11790
2023-05-19,12027
2023-05-20,12504
2023-05-21,12077
2023-05-22,11835
2023-05-23,11829
2023-05-24,11875
2023-05-25,12024
2023-05-26,12013
2023-05-27,11994
2023-05-28,12009
2023-05-29,11917
2023-05-30,12012
2023-05-31,12010
2023-06-01,12373
2023-06-02,12155
2023-06-03,12317
2023-06-04,12289
2023-06-05,12261
2023-06-06,12021
2023-06-07,12806
2023-06-08,12247
2023-06-09,12054
2023-06-10,12378
2023-06-11,12309
2023-06-12,12160
2023-06-13,13087
2023-06-14,12692
2023-06-15,12244
2023-06-16,12515
2023-06-17,12290
2023-06-18,12269
2023-06-19,11942
2023-06-20,12378
2023-06-21,12472
2023-06-22,12099
2023-06-23,12506
2023-06-24,12787
2023-06-25,12605
2023-06-26,12545
2023-06-27,12892
2023-06-28,12331
2023-06-29,12227
2023-06-30,12333
2023-07-01,11432
2023-07-02,11190
2023-07-03,11401
2023-07-04,11252
2023-07-05,11099
2023-07-06,11326
2023-07-07,10862
2023-07-08,11245
2023-07-09,11453
2023-07-10,11563
2023-07-11,11087
2023-07-12,11308
2023-07-13,11926
2023-07-14,11281
2023-07-15,11225
2023-07-16,11066
2023-07-17,11345
2023-07-18,11261
2023-07-19,11376
2023-07-20,11213
2023-07-21,11010
2023-07-22,11786
2023-07-23,11261
2023-07-24,11276
2023-07-25,11027
2023-07-26,10885
2023-07-27,11316
2023-07-28,10761
2023-07-29,11528
2023-07-30,11505
2023-07-31,11239
2023-08-01,12722
2023-08-02,12163
2023-08-03,13090
2023-08-04,12067
2023-08-05,12614
2023-08-06,12957
2023-08-07,12893
2023-08-08,12563
2023-08-09,12822
2023-08-10,12812
2023-08-11,12995
2023-08-12,13045
2023-08-13,12908
2023-08-14,12910
2023-08-15,12680
2023-08-16,12555
2023-08-17,12372
2023-08-18,12249
2023-08-19,12348
2023-08-20,12832
2023-08-21,13302
2023-08-22,12539
2023-08-23,12304
2023-08-24,12927
2023-08-25,12897
2023-08-26,12586
2023-08-27,12664
2023-08-28,12655
2023-08-29,12430
2023-08-30,12988
2023-08-31,12165
2023-09-01,13450
2023-09-02,12835
2023-09-03,12760
2023-09-04,13011
2023-09-05,12985
2023-09-06,13195
2023-09-07,12770
2023-09-08,13471
2023-09-09,12951
2023-09-10,13268
2023-09-11,13111
2023-09-12,13111
2023-09-13,13001
2023-09-14,13113
2023-09-15,12939
2023-09-16,13053
2023-09-17,12791
2023-09-18,13051
2023-09-19,12993
2023-09-20,12961
2023-09-21,12998
2023-09-22,13517
2023-09-23,13173
2023-09-24,12927
2023-09-25,12868
2023-09-26,12920
2023-09-27,13184
2023-09-28,13020
2023-09-29,13338
2023-09-30,12943
2023-10-01,12740
2023-10-02,12672
2023-10-03,12319
2023-10-04,12828
2023-10-05,13439
2023-10-06,12993
2023-10-07,12106
2023-10-08,12380
2023-10-09,12950
2023-10-10,12258
2023-10-11,12426
2023-10-12,12115
2023-10-13,12619
2023-10-14,12942
2023-10-15,12936
2023-10-16,12435
2023-10-17,12745
2023-10-18,12630
2023-10-19,12798
2023-10-20,12369
2023-10-21,12710
2023-10-22,12327
2023-10-23,12344
2023-10-24,13105
2023-10-25,12505
2023-10-26,12781
2023-10-27,12344
2023-10-28,13043
2023-10-29,12622
2023-10-30,12386
2023-10-31,12735
2023-11-01,15569
2023-11-02,15544
2023-11-03,15762
2023-11-04,15816
2023-11-05,15375
2023-11-06,15906
2023-11-07,15028
2023-11-08,15716
2023-11-09,15584
2023-11-10,15495
2023-11-11,15926
2023-11-12,15450
2023-11-13,15581
2023-11-14,15156
2023-11-15,16040
2023-11-16,15257
2023-11-17,16138
2023-11-18,15297
2023-11-19,15509
2023-11-20,15315
2023-11-21,15495
2023-11-22,15724
2023-11-23,14998
2023-11-24,15031
2023-11-25,15332
2023-11-26,15466
2023-11-27,15459
2023-11-28,15429
2023-11-29,15447
2023-11-30,15851
2023-12-01,16594
2023-12-02,16955
2023-12-03,16608
2023-12-04,16596
2023-12-05,16510
2023-12-06,16480
2023-12-07,16814
2023-12-08,16559
2023-12-09,17225
2023-12-10,17129
2023-12-11,16683
2023-12-12,16829
2023-12-13,16661
2023-12-14,17021
2023-12-15,16295
2023-12-16,16999
2023-12-17,17132
2023-12-18,16810
2023-12-19,16933
2023-12-20,16916
2023-12-21,17079
2023-12-22,16514
2023-12-23,16176
2023-12-24,16633
2023-12-25,17034
2023-12-26,16835
2023-12-27,16815
2023-12-28,16389
2023-12-29,16832
2023-12-30,16268
2023-12-31,16262
2024-01-01,11104
2024-01-02,10896
2024-01-03,10452
2024-01-04,10844
2024-01-05,11141
2024-01-06,10518
2024-01-07,11005
2024-01-08,10771
2024-01-09,11093
2024-01-10,10720
2024-01-11,10835
2024-01-12,10898
2024-01-13,11117
2024-01-14,10632
2024-01-15,10682
2024-01-16,10121
2024-01-17,10724
2024-01-18,10355
2024-01-19,10688
2024-01-20,11018
2024-01-21,10913
2024-01-22,10787
2024-01-23,10588
2024-01-24,11216
2024-01-25,10567
2024-01-26,11353
2024-01-27,10884
2024-01-28,10682
2024-01-29,10604
2024-01-30,10644
2024-01-31,10938
2024-02-01,11141
2024-02-02,10640
2024-02-03,11091
2024-02-04,11097
2024-02-05,10981
2024-02-06,10914
2024-02-07,11264
2024-02-08,10707
2024-02-09,10798
2024-02-10,10734
2024-02-11,10863
2024-02-12,11201
2024-02-13,11000
2024-02-14,10801
2024-02-15,10498
2024-02-16,10790
2024-02-17,10499
2024-02-18,11414
2024-02-19,10523
2024-02-20,11280
2024-02-21,10769
2024-02-22,10727
2024-02-23,10871
2024-02-24,10990
2024-02-25,10754
2024-02-26,11031
2024-02-27,10919
2024-02-28,10868
2024-02-29,10963
2024-03-01,12000
2024-03-02,12067
2024-03-03,11850
2024-03-04,11776
2024-03-05,11831
2024-03-06,11743
2024-03-07,12448
2024-03-08,12014
2024-03-09,11371
2024-03-10,12171
2024-03-11,11910
2024-03-12,12058
2024-03-13,12169
2024-03-14,11667
2024-03-15,11486
2024-03-16,11514
2024-03-17,11918
2024-03-18,12226
2024-03-19,12109
2024-03-20,12193
2024-03-21,12451
2024-03-22,12292
2024-03-23,12051
2024-03-24,11793
2024-03-25,12020
2024-03-26,11947
2024-03-27,11926
2024-03-28,11824
2024-03-29,11847
2024-03-30,11981
2024-03-31,11842
2024-04-01,12249
2024-04-02,12527
2024-04-03,12553
2024-04-04,12135
2024-04-05,12439
2024-04-06,12649
2024-04-07,12650
2024-04-08,12351
2024-04-09,12499
2024-04-10,12362
2024-04-11,12232
2024-04-12,12721
2024-04-13,12598
2024-04-14,12304
2024-04-15,12716
2024-04-16,12107
2024-04-17,12435
2024-04-18,12455
2024-04-19,12733
2024-04-20,12054
2024-04-21,12486
2024-04-22,12788
2024-04-23,12439
2024-04-24,12822
2024-04-25,12275
2024-04-26,12414
2024-04-27,12385
2024-04-28,12303
2024-04-29,12709
2024-04-30,12411
2024-05-01,12473
2024-05-02,12907
2024-05-03,12368
2024-05-04,12360
2024-05-05,12831
2024-05-06,12381
2024-05-07,12448
2024-05-08,12322
2024-05-09,12565
2024-05-10,12605
2024-05-11,12442
2024-05-12,12716
2024-05-13,12634
2024-05-14,12823
2024-05-15,12499
2024-05-16,12590
2024-05-17,12836
2024-05-18,12526
2024-05-19,12771
2024-05-20,12320
2024-05-21,12721
2024-05-22,13050
2024-05-23,12699
2024-05-24,12594
2024-05-25,12830
2024-05-26,12932
2024-05-27,12843
2024-05-28,12550
2024-05-29,12859
2024-05-30,12620
2024-05-31,12117
2024-06-01,12982
2024-06-02,13308
2024-06-03,13878
2024-06-04,13191
2024-06-05,12767
2024-06-06,13122
2024-06-07,13306
2024-06-08,13319
2024-06-09,12929
2024-06-10,13465
2024-06-11,13352
2024-06-12,13458
2024-06-13,13266
2024-06-14,13359
2024-06-15,13164
2024-06-16,12863
2024-06-17,13202
2024-06-18,13059
2024-06-19,12925
2024-06-20,13149
2024-06-21,13235
2024-06-22,12662
2024-06-23,13186
2024-06-24,13133
2024-06-25,12734
2024-06-26,13198
2024-06-27,13132
2024-06-28,13367
2024-06-29,12559
2024-06-30,13269
2024-07-01,11885
2024-07-02,12452
2024-07-03,12351
2024-07-04,11962
2024-07-05,11508
2024-07-06,11857
2024-07-07,12174
2024-07-08,12220
2024-07-09,12416
2024-07-10,12199
2024-07-11,11627
2024-07-12,11979
2024-07-13,12163
2024-07-14,12227
2024-07-15,11800
2024-07-16,12116
2024-07-17,12047
2024-07-18,12005
2024-07-19,12034
2024-07-20,12270
2024-07-21,12429
2024-07-22,12028
2024-07-23,11946
2024-07-24,12079
2024-07-25,12256
2024-07-26,11932
2024-07-27,11773
2024-07-28,11733
2024-07-29,12119
2024-07-30,12195
2024-07-31,11742
2024-08-01,13704
2024-08-02,13796
2024-08-03,13143
2024-08-04,13329
2024-08-05,13584
2024-08-06,13115
2024-08-07,13205
2024-08-08,12832
2024-08-09,13006
2024-08-10,13436
2024-08-11,13169
2024-08-12,13255
2024-08-13,13327
2024-08-14,13516
2024-08-15,13144
2024-08-16,13011
2024-08-17,13219
2024-08-18,13132
2024-08-19,12852
2024-08-20,13609
2024-08-21,13016
2024-08-22,12758
2024-08-23,14117
2024-08-24,12827
2024-08-25,12830
2024-08-26,13343
2024-08-27,13365
2024-08-28,13267
2024-08-29,13607
2024-08-30,13733
2024-08-31,13278
2024-09-01,14359
2024-09-02,13609
2024-09-03,13923
2024-09-04,14077
2024-09-05,13648
2024-09-06,13663
2024-09-07,13390
2024-09-08,14330
2024-09-09,13919
2024-09-10,13548
2024-09-11,14302
2024-09-12,13624
2024-09-13,13380
2024-09-14,13670
2024-09-15,13801
2024-09-16,13477
2024-09-17,13924
2024-09-18,13850
2024-09-19,13830
2024-09-20,13705
2024-09-21,13356
2024-09-22,13905
2024-09-23,13646
2024-09-24,13974
2024-09-25,13393
2024-09-26,13873
2024-09-27,13687
2024-09-28,13946
2024-09-29,13987
2024-09-30,13472
2024-10-01,13311
2024-10-02,13612
2024-10-03,13576
2024-10-04,13227
2024-10-05,13242
2024-10-06,13283
2024-10-07,13072
2024-10-08,13643
2024-10-09,13238
2024-10-10,13532
2024-10-11,13529
2024-10-12,12877
2024-10-13,13859
2024-10-14,12965
2024-10-15,13085
2024-10-16,13568
2024-10-17,13432
2024-10-18,13201
2024-10-19,13018
2024-10-20,13302
2024-10-21,13270
2024-10-22,13391
2024-10-23,13101
2024-10-24,13352
2024-10-25,12984
2024-10-26,13479
2024-10-27,12999
2024-10-28,13804
2024-10-29,13229
2024-10-30,13085
2024-10-31,12958
2024-11-01,16092
2024-11-02,16472
2024-11-03,16393
2024-11-04,16480
2024-11-05,16788
2024-11-06,16798
2024-11-07,16314
2024-11-08,16632
2024-11-09,16405
2024-11-10,15761
2024-11-11,16463
2024-11-12,15993
2024-11-13,16336
2024-11-14,16657
2024-11-15,16475
2024-11-16,16612
2024-11-17,16668
2024-11-18,16310
2024-11-19,16544
2024-11-20,16031
2024-11-21,16684
2024-11-22,16287
2024-11-23,16243
2024-11-24,15997
2024-11-25,16447
2024-11-26,16300
2024-11-27,15987
2024-11-28,15852
2024-11-29,15887
2024-11-30,16379
2024-12-01,17832
2024-12-02,17557
2024-12-03,17627
2024-12-04,17626
2024-12-05,18003
2024-12-06,17389
2024-12-07,17770
2024-12-08,17640
2024-12-09,18069
2024-12-10,17921
2024-12-11,17749
2024-12-12,18004
2024-12-13,17759
2024-12-14,17668
2024-12-15,17359
2024-12-16,17523
2024-12-17,17637
2024-12-18,17767
2024-12-19,17616
2024-12-20,17761
2024-12-21,17446
2024-12-22,17835
2024-12-23,17848
2024-12-24,17687
2024-12-25,18332
2024-12-26,17549
2024-12-27,17765
2024-12-28,17006
2024-12-29,17751
2024-12-30,17736
2024-12-31,17710
2025-01-01,11310
2025-01-02,11282
2025-01-03,11495
2025-01-04,10744
2025-01-05,11130
2025-01-06,11028
2025-01-07,11656
2025-01-08,10990
2025-01-09,11193
2025-01-10,11236
2025-01-11,11314
2025-01-12,11287
2025-01-13,11173
2025-01-14,11451
2025-01-15,11560
2025-01-16,11309
2025-01-17,11389
2025-01-18,11437
2025-01-19,11342
2025-01-20,11193
2025-01-21,11559
2025-01-22,10996
2025-01-23,11765
2025-01-24,11524
2025-01-25,11164
2025-01-26,11372
2025-01-27,11697
2025-01-28,11141
2025-01-29,11289
2025-01-30,11173
2025-01-31,11430
2025-02-01,11866
2025-02-02,11790
2025-02-03,11493
2025-02-04,11841
2025-02-05,11784
2025-02-06,11973
2025-02-07,11912
2025-02-08,11682
2025-02-09,11848
2025-02-10,11857
2025-02-11,11405
2025-02-12,11840
2025-02-13,11891
2025-02-14,11688
2025-02-15,12503
2025-02-16,11966
2025-02-17,11918
2025-02-18,11634
2025-02-19,11897
2025-02-20,11868
2025-02-21,11375
2025-02-22,11764
2025-02-23,11458
2025-02-24,11716
2025-02-25,11838
2025-02-26,11694
2025-02-27,11755
2025-02-28,12239
2025-03-01,12857
2025-03-02,12659
2025-03-03,12285
2025-03-04,13095
2025-03-05,12415
2025-03-06,12294
2025-03-07,13110
2025-03-08,12552
2025-03-09,13052
2025-03-10,12667
2025-03-11,12744
2025-03-12,12791
2025-03-13,12705
2025-03-14,12984
2025-03-15,12664
2025-03-16,12354
2025-03-17,12354
2025-03-18,13143
2025-03-19,12640
2025-03-20,12373
2025-03-21,12363
2025-03-22,12293
2025-03-23,12309
2025-03-24,13097
2025-03-25,12846
2025-03-26,12506
2025-03-27,12726
2025-03-28,12283
2025-03-29,12656
2025-03-30,12544
2025-03-31,13439
2025-04-01,13552
2025-04-02,13128
2025-04-03,12598
2025-04-04,12751
2025-04-05,12797
2025-04-06,13613
2025-04-07,12951
2025-04-08,12862
2025-04-09,13044
2025-04-10,13053
2025-04-11,13683
2025-04-12,13574
2025-04-13,12778
2025-04-14,13351
2025-04-15,12816
2025-04-16,12673
2025-04-17,12934
2025-04-18,13657
2025-04-19,13497
2025-04-20,13650
2025-04-21,13177
2025-04-22,13353
2025-04-23,12917
2025-04-24,13136
2025-04-25,12742
2025-04-26,13461
2025-04-27,12915
2025-04-28,13153
2025-04-29,13146
2025-04-30,13143
2025-05-01,13410
2025-05-02,13257
2025-05-03,13526
2025-05-04,12719
2025-05-05,13571
2025-05-06,14253
2025-05-07,13050
2025-05-08,13151
2025-05-09,12810
2025-05-10,12885
2025-05-11,13418
2025-05-12,13694
2025-05-13,13433
2025-05-14,13450
2025-05-15,12967
2025-05-16,12710
2025-05-17,13594
2025-05-18,13160
2025-05-19,13306
2025-05-20,13482
2025-05-21,13293
2025-05-22,13262
2025-05-23,13111
2025-05-24,13476
2025-05-25,13105
2025-05-26,13477
2025-05-27,13186
2025-05-28,13215
2025-05-29,13248
2025-05-30,13756
2025-05-31,13720
2025-06-01,13773
2025-06-02,13817
2025-06-03,14208
2025-06-04,13954
2025-06-05,14089
2025-06-06,13786
2025-06-07,13597
2025-06-08,13961
2025-06-09,13805
2025-06-10,13640
2025-06-11,13576
2025-06-12,13771
2025-06-13,14026
2025-06-14,13875
2025-06-15,13746
2025-06-16,13788
2025-06-17,13592
2025-06-18,13450
2025-06-19,13794
2025-06-20,13922
2025-06-21,13886
2025-06-22,13476
2025-06-23,13652
2025-06-24,14095
2025-06-25,14074
2025-06-26,13451
2025-06-27,13623
2025-06-28,13792
2025-06-29,13973
2025-06-30,13604
2025-07-01,12985
2025-07-02,12658
2025-07-03,12912
2025-07-04,12997
2025-07-05,12226
2025-07-06,12435
2025-07-07,12591
2025-07-08,12825
2025-07-09,12583
2025-07-10,12622
2025-07-11,12900
2025-07-12,13304
2025-07-13,12352
2025-07-14,12522
2025-07-15,13082
2025-07-16,12614
2025-07-17,12949
2025-07-18,12937
2025-07-19,12912
2025-07-20,12570
2025-07-21,12293
2025-07-22,12816
2025-07-23,12356
2025-07-24,12636
2025-07-25,12145
2025-07-26,12801
2025-07-27,12480
2025-07-28,13142
2025-07-29,12505
2025-07-30,13137
2025-07-31,12282
2025-08-01,13763
2025-08-02,14160
2025-08-03,13671
2025-08-04,13763
2025-08-05,14034
2025-08-06,13639
2025-08-07,14018
2025-08-08,13992
2025-08-09,13715
2025-08-10,14372
2025-08-11,14128
2025-08-12,13799
2025-08-13,13755
2025-08-14,13977
2025-08-15,14044
2025-08-16,13765
2025-08-17,13271
2025-08-18,13949
2025-08-19,14013
2025-08-20,14481
2025-08-21,13789
2025-08-22,14006
2025-08-23,13877
2025-08-24,14126
2025-08-25,14034
2025-08-26,13908
2025-08-27,13978
2025-08-28,13860
2025-08-29,13968
2025-08-30,14070
2025-08-31,14350
2025-09-01,14557
2025-09-02,14265
2025-09-03,14473
2025-09-04,14432
2025-09-05,15152
2025-09-06,14228
2025-09-07,14013
2025-09-08,14697
2025-09-09,14433
2025-09-10,15138
2025-09-11,14593
2025-09-12,15129
2025-09-13,14557
2025-09-14,14536
2025-09-15,15111
2025-09-16,14686
2025-09-17,14143
2025-09-18,14889
2025-09-19,13939
2025-09-20,14602
2025-09-21,14794
2025-09-22,14098
2025-09-23,14570
2025-09-24,14259
2025-09-25,14907
2025-09-26,14183
2025-09-27,14271
2025-09-28,14289
2025-09-29,14410
2025-09-30,14510
2025-10-01,13770
2025-10-02,13758
2025-10-03,14169
2025-10-04,13481
2025-10-05,14057
2025-10-06,14093
2025-10-07,14615
2025-10-08,14330
2025-10-09,13810
2025-10-10,13717
2025-10-11,13876
2025-10-12,14147
2025-10-13,13721
2025-10-14,14519
2025-10-15,13705
2025-10-16,14132
2025-10-17,13185
2025-10-18,14085
2025-10-19,13872
2025-10-20,14053
2025-10-21,13453
2025-10-22,13446
2025-10-23,13437
2025-10-24,13651
2025-10-25,13500
2025-10-26,13819
2025-10-27,13457
2025-10-28,13544
2025-10-29,13509
2025-10-30,13905
