store_id,sku_id,stock_on_hand,reorder_point,safety_stock,last_restock_date,reorder_gap,safety_stock_gap,stock_to_reorder_ratio,risk_category,risk_score
ST06,SKU01880,149,29,10,2025-08-12,120,139,5.137931034482759,Low,10
ST06,SKU01651,96,20,4,2025-06-11,76,92,4.8,Low,10
ST07,SKU02519,259,45,9,2025-07-01,214,250,5.7555555555555555,Low,10
ST26,SKU01337,93,21,8,2025-08-05,72,85,4.428571428571429,Low,10
ST07,SKU04505,104,29,9,2025-07-31,75,95,3.586206896551724,Low,10
ST15,SKU04854,147,45,14,2025-07-22,102,133,3.2666666666666666,Low,10
ST27,SKU01939,299,55,24,2025-08-31,244,275,5.4363636363636365,Low,10
ST20,SKU02983,0,77,25,2025-09-05,-77,-25,0.0,Critical,100
ST18,SKU00170,163,35,14,2025-08-08,128,149,4.6571428571428575,Low,10
ST04,SKU02221,301,59,25,2025-07-02,242,276,5.101694915254237,Low,10
ST09,SKU00350,181,47,19,2025-08-29,134,162,3.851063829787234,Low,10
ST21,SKU03622,0,47,15,2025-10-08,-47,-15,0.0,Critical,100
ST12,SKU00355,298,87,30,2025-05-07,211,268,3.425287356321839,Low,10
ST03,SKU00535,112,24,8,2025-08-21,88,104,4.666666666666667,Low,10
ST15,SKU03807,147,41,12,2025-07-30,106,135,3.5853658536585367,Low,10
ST13,SKU00994,0,73,15,2025-09-01,-73,-15,0.0,Critical,100
ST04,SKU01174,336,57,13,2025-07-24,279,323,5.894736842105263,Low,10
ST09,SKU03504,365,70,15,2025-07-26,295,350,5.214285714285714,Low,10
ST21,SKU00589,195,58,17,2025-06-17,137,178,3.3620689655172415,Low,10
ST05,SKU02567,247,76,28,2025-07-29,171,219,3.25,Low,10
ST24,SKU02580,188,57,22,2025-06-23,131,166,3.2982456140350878,Low,10
ST22,SKU03968,230,51,14,2025-08-22,179,216,4.509803921568627,Low,10
ST06,SKU00954,210,43,13,2025-06-09,167,197,4.883720930232558,Low,10
ST23,SKU02355,0,40,19,2025-08-13,-40,-19,0.0,Critical,100
ST26,SKU04612,396,95,32,2025-08-16,301,364,4.168421052631579,Low,10
ST19,SKU03633,0,81,27,2025-09-15,-81,-27,0.0,Critical,100
ST02,SKU03235,310,52,21,2025-08-14,258,289,5.961538461538462,Low,10
ST24,SKU01762,290,55,24,2025-06-20,235,266,5.2727272727272725,Low,10
ST22,SKU03150,215,44,13,2025-08-23,171,202,4.886363636363637,Low,10
ST22,SKU00935,337,59,19,2025-06-27,278,318,5.711864406779661,Low,10
ST25,SKU02401,0,21,6,2025-10-01,-21,-6,0.0,Critical,100
ST27,SKU02999,125,34,13,2025-05-07,91,112,3.676470588235294,Low,10
ST20,SKU02057,421,74,36,2025-08-18,347,385,5.6891891891891895,Low,10
ST25,SKU00186,207,39,10,2025-06-07,168,197,5.3076923076923075,Low,10
ST23,SKU03523,143,31,15,2025-08-07,112,128,4.612903225806452,Low,10
ST14,SKU01754,310,56,23,2025-07-02,254,287,5.535714285714286,Low,10
ST07,SKU04747,245,54,26,2025-05-18,191,219,4.537037037037037,Low,10
ST07,SKU00546,318,58,22,2025-06-20,260,296,5.482758620689655,Low,10
ST07,SKU00317,230,43,17,2025-07-16,187,213,5.348837209302325,Low,10
ST29,SKU00830,0,21,9,2025-10-03,-21,-9,0.0,Critical,100
ST22,SKU01874,156,31,11,2025-07-13,125,145,5.032258064516129,Low,10
ST01,SKU02983,0,70,31,2025-10-08,-70,-31,0.0,Critical,100
ST06,SKU01075,311,52,21,2025-07-04,259,290,5.980769230769231,Low,10
ST16,SKU03520,445,96,40,2025-07-11,349,405,4.635416666666667,Low,10
ST21,SKU01649,318,79,29,2025-05-18,239,289,4.025316455696203,Low,10
ST26,SKU02747,0,26,8,2025-09-02,-26,-8,0.0,Critical,100
ST26,SKU00532,175,40,19,2025-07-03,135,156,4.375,Low,10
ST07,SKU01485,0,55,27,2025-08-07,-55,-27,0.0,Critical,100
ST05,SKU03627,384,77,17,2025-08-18,307,367,4.987012987012987,Low,10
ST19,SKU01310,448,77,22,2025-05-24,371,426,5.818181818181818,Low,10
ST02,SKU04753,138,36,8,2025-08-24,102,130,3.8333333333333335,Low,10
ST19,SKU04693,290,93,25,2025-07-01,197,265,3.118279569892473,Low,10
ST22,SKU02224,154,37,8,2025-06-07,117,146,4.162162162162162,Low,10
ST24,SKU02822,381,91,25,2025-06-02,290,356,4.186813186813187,Low,10
ST17,SKU01880,362,100,43,2025-05-20,262,319,3.62,Low,10
ST30,SKU03805,90,21,5,2025-07-30,69,85,4.285714285714286,Low,10
ST04,SKU02584,260,57,25,2025-08-25,203,235,4.56140350877193,Low,10
ST04,SKU02355,0,48,17,2025-10-10,-48,-17,0.0,Critical,100
ST26,SKU04854,450,86,32,2025-05-27,364,418,5.232558139534884,Low,10
ST12,SKU04919,368,65,14,2025-08-04,303,354,5.661538461538462,Low,10
ST26,SKU02639,141,33,11,2025-08-04,108,130,4.2727272727272725,Low,10
ST29,SKU04334,242,55,23,2025-08-14,187,219,4.4,Low,10
ST12,SKU04690,365,64,22,2025-05-16,301,343,5.703125,Low,10
ST29,SKU04105,0,83,32,2025-09-25,-83,-32,0.0,Critical,100
ST01,SKU02057,356,67,19,2025-07-03,289,337,5.313432835820896,Low,10
ST06,SKU04350,0,92,26,2025-08-16,-92,-26,0.0,Critical,100
ST04,SKU03523,426,77,20,2025-08-25,349,406,5.532467532467533,Low,10
ST11,SKU00264,0,31,7,2025-08-21,-31,-7,0.0,Critical,100
ST21,SKU02938,369,83,27,2025-07-05,286,342,4.445783132530121,Low,10
ST07,SKU00788,390,84,38,2025-07-21,306,352,4.642857142857143,Low,10
ST26,SKU03807,233,41,19,2025-05-18,192,214,5.682926829268292,Low,10
ST05,SKU02930,0,23,8,2025-09-12,-23,-8,0.0,Critical,100
ST26,SKU01592,384,71,26,2025-07-10,313,358,5.408450704225352,Low,10
ST10,SKU00830,0,87,23,2025-08-31,-87,-23,0.0,Critical,100
ST03,SKU04052,350,76,29,2025-05-24,274,321,4.605263157894737,Low,10
ST27,SKU04409,414,76,27,2025-05-13,338,387,5.447368421052632,Low,10
ST29,SKU03058,397,75,28,2025-06-18,322,369,5.293333333333333,Low,10
ST23,SKU02718,310,80,31,2025-08-05,230,279,3.875,Low,10
ST21,SKU04106,138,37,18,2025-08-09,101,120,3.72972972972973,Low,10
ST16,SKU01547,0,79,26,2025-10-01,-79,-26,0.0,Critical,100
ST26,SKU00774,0,84,30,2025-09-27,-84,-30,0.0,Critical,100
ST17,SKU00954,232,66,23,2025-07-22,166,209,3.515151515151515,Low,10
ST22,SKU03284,227,73,25,2025-07-22,154,202,3.1095890410958904,Low,10
ST03,SKU03005,319,57,26,2025-07-14,262,293,5.5964912280701755,Low,10
ST08,SKU03349,81,23,6,2025-08-10,58,75,3.5217391304347827,Low,10
ST03,SKU02776,0,24,12,2025-10-09,-24,-12,0.0,Critical,100
ST15,SKU04062,280,67,18,2025-06-20,213,262,4.17910447761194,Low,10
ST11,SKU00385,251,55,26,2025-07-27,196,225,4.5636363636363635,Low,10
ST16,SKU00500,0,22,7,2025-09-28,-22,-7,0.0,Critical,100
ST02,SKU02780,411,73,16,2025-06-06,338,395,5.63013698630137,Low,10
ST19,SKU00734,119,23,9,2025-06-15,96,110,5.173913043478261,Low,10
ST29,SKU03179,136,27,13,2025-05-08,109,123,5.037037037037037,Low,10
ST25,SKU01717,126,29,12,2025-08-09,97,114,4.344827586206897,Low,10
ST18,SKU00546,120,32,8,2025-06-30,88,112,3.75,Low,10
ST14,SKU01070,342,77,23,2025-05-18,265,319,4.441558441558442,Low,10
ST10,SKU04334,74,20,4,2025-07-25,54,70,3.7,Low,10
ST15,SKU04412,249,55,27,2025-06-14,194,222,4.527272727272727,Low,10
ST13,SKU01370,0,22,6,2025-09-14,-22,-6,0.0,Critical,100
ST27,SKU03254,393,73,33,2025-05-30,320,360,5.383561643835616,Low,10
ST11,SKU00506,0,62,14,2025-09-06,-62,-14,0.0,Critical,100
ST23,SKU01792,511,100,21,2025-07-23,411,490,5.11,Low,10
ST21,SKU00965,123,35,16,2025-08-26,88,107,3.5142857142857142,Low,10
ST02,SKU04887,566,95,32,2025-06-25,471,534,5.957894736842105,Low,10
ST08,SKU04409,316,69,25,2025-06-07,247,291,4.579710144927536,Low,10
ST11,SKU01674,437,84,33,2025-05-23,353,404,5.2023809523809526,Low,10
ST21,SKU04348,0,74,18,2025-09-09,-74,-18,0.0,Critical,100
ST04,SKU02718,248,44,15,2025-08-02,204,233,5.636363636363637,Low,10
ST14,SKU01191,434,82,20,2025-05-24,352,414,5.2926829268292686,Low,10
ST09,SKU02833,0,82,22,2025-08-06,-82,-22,0.0,Critical,100
ST23,SKU00516,461,81,34,2025-05-08,380,427,5.691358024691358,Low,10
ST02,SKU03840,0,49,19,2025-09-08,-49,-19,0.0,Critical,100
ST02,SKU01854,437,80,19,2025-06-10,357,418,5.4625,Low,10
ST28,SKU00860,129,34,12,2025-06-14,95,117,3.7941176470588234,Low,10
ST29,SKU02482,0,98,23,2025-08-18,-98,-23,0.0,Critical,100
ST29,SKU04468,244,79,28,2025-08-25,165,216,3.088607594936709,Low,10
ST03,SKU01032,268,63,20,2025-05-24,205,248,4.253968253968254,Low,10
ST20,SKU02662,320,87,19,2025-08-05,233,301,3.67816091954023,Low,10
ST27,SKU03375,378,67,25,2025-05-24,311,353,5.641791044776119,Low,10
ST30,SKU00906,306,80,18,2025-07-25,226,288,3.825,Low,10
ST23,SKU01684,503,97,24,2025-06-23,406,479,5.185567010309279,Low,10
ST10,SKU03179,241,50,17,2025-08-15,191,224,4.82,Low,10
ST03,SKU01971,104,28,6,2025-08-04,76,98,3.7142857142857144,Low,10
ST15,SKU03257,443,76,36,2025-08-03,367,407,5.828947368421052,Low,10
ST15,SKU01042,291,72,20,2025-08-18,219,271,4.041666666666667,Low,10
ST09,SKU02954,0,31,8,2025-08-19,-31,-8,0.0,Critical,100
ST17,SKU01317,0,78,37,2025-08-10,-78,-37,0.0,Critical,100
ST01,SKU04756,0,73,18,2025-08-14,-73,-18,0.0,Critical,100
ST03,SKU01153,0,98,24,2025-09-01,-98,-24,0.0,Critical,100
ST03,SKU03139,149,31,14,2025-07-02,118,135,4.806451612903226,Low,10
ST01,SKU02541,235,47,10,2025-08-14,188,225,5.0,Low,10
ST25,SKU02898,0,24,5,2025-08-15,-24,-5,0.0,Critical,100
ST06,SKU04605,177,56,23,2025-07-10,121,154,3.1607142857142856,Low,10
ST04,SKU01792,120,21,10,2025-08-21,99,110,5.714285714285714,Low,10
ST23,SKU01805,289,72,21,2025-05-07,217,268,4.013888888888889,Low,10
ST26,SKU00090,457,98,37,2025-07-28,359,420,4.663265306122449,Low,10
ST21,SKU00978,227,47,22,2025-06-07,180,205,4.829787234042553,Low,10
ST01,SKU03709,101,21,7,2025-05-23,80,94,4.809523809523809,Low,10
ST13,SKU02780,182,32,15,2025-06-09,150,167,5.6875,Low,10
ST20,SKU01507,0,53,12,2025-08-22,-53,-12,0.0,Critical,100
ST27,SKU02449,0,24,6,2025-08-30,-24,-6,0.0,Critical,100
ST25,SKU03837,334,81,31,2025-08-16,253,303,4.1234567901234565,Low,10
ST23,SKU00987,147,38,9,2025-05-12,109,138,3.8684210526315788,Low,10
ST21,SKU02375,363,64,13,2025-07-19,299,350,5.671875,Low,10
ST23,SKU00758,591,100,20,2025-05-13,491,571,5.91,Low,10
ST09,SKU00860,120,27,12,2025-07-03,93,108,4.444444444444445,Low,10
ST07,SKU02211,344,59,21,2025-07-12,285,323,5.830508474576271,Low,10
ST10,SKU02482,0,28,14,2025-08-10,-28,-14,0.0,Critical,100
ST29,SKU04710,0,51,13,2025-10-03,-51,-13,0.0,Critical,100
ST10,SKU04468,104,32,11,2025-05-08,72,93,3.25,Low,10
ST10,SKU02253,544,97,20,2025-05-08,447,524,5.608247422680412,Low,10
ST03,SKU01274,0,36,11,2025-08-10,-36,-11,0.0,Critical,100
ST01,SKU02662,425,75,33,2025-05-22,350,392,5.666666666666667,Low,10
ST03,SKU01045,0,89,37,2025-08-27,-89,-37,0.0,Critical,100
ST06,SKU02740,0,64,28,2025-09-27,-64,-28,0.0,Critical,100
ST06,SKU04726,206,65,31,2025-06-18,141,175,3.169230769230769,Low,10
ST16,SKU03199,0,76,29,2025-09-04,-76,-29,0.0,Critical,100
ST04,SKU01684,154,45,21,2025-05-08,109,133,3.422222222222222,Low,10
ST26,SKU04412,251,62,17,2025-05-13,189,234,4.048387096774194,Low,10
ST07,SKU03150,290,51,18,2025-07-14,239,272,5.686274509803922,Low,10
ST24,SKU01104,341,92,36,2025-08-30,249,305,3.7065217391304346,Low,10
ST27,SKU00584,287,70,24,2025-08-29,217,263,4.1,Low,10
ST08,SKU00342,316,56,22,2025-05-18,260,294,5.642857142857143,Low,10
ST27,SKU02570,517,90,32,2025-05-20,427,485,5.7444444444444445,Low,10
ST27,SKU00355,369,62,30,2025-08-21,307,339,5.951612903225806,Low,10
ST21,SKU02267,303,56,24,2025-05-20,247,279,5.410714285714286,Low,10
ST21,SKU00052,154,41,16,2025-05-16,113,138,3.7560975609756095,Low,10
ST07,SKU04318,0,77,24,2025-10-11,-77,-24,0.0,Critical,100
ST24,SKU02501,193,41,11,2025-08-22,152,182,4.7073170731707314,Low,10
ST29,SKU04831,307,89,32,2025-06-06,218,275,3.449438202247191,Low,10
ST12,SKU00986,369,68,21,2025-06-20,301,348,5.426470588235294,Low,10
ST22,SKU01674,182,48,23,2025-06-22,134,159,3.7916666666666665,Low,10
ST29,SKU00401,77,25,9,2025-05-10,52,68,3.08,Low,10
ST13,SKU01854,289,57,25,2025-08-22,232,264,5.0701754385964914,Low,10
ST13,SKU03840,0,82,27,2025-08-18,-82,-27,0.0,Critical,100
ST15,SKU00237,286,78,26,2025-08-16,208,260,3.6666666666666665,Low,10
ST06,SKU04847,0,61,12,2025-09-06,-61,-12,0.0,Critical,100
ST04,SKU01805,452,86,43,2025-05-13,366,409,5.255813953488372,Low,10
ST22,SKU02842,267,63,18,2025-05-27,204,249,4.238095238095238,Low,10
ST01,SKU01507,0,48,17,2025-09-17,-48,-17,0.0,Critical,100
ST06,SKU03800,0,21,10,2025-08-07,-21,-10,0.0,Critical,100
ST11,SKU04144,295,84,25,2025-08-30,211,270,3.511904761904762,Low,10
ST04,SKU00987,76,24,5,2025-08-05,52,71,3.1666666666666665,Low,10
ST04,SKU00758,305,83,20,2025-05-30,222,285,3.674698795180723,Low,10
ST10,SKU04710,0,67,27,2025-08-10,-67,-27,0.0,Critical,100
ST29,SKU02737,0,33,12,2025-09-08,-33,-12,0.0,Critical,100
ST18,SKU04305,0,58,19,2025-10-10,-58,-19,0.0,Critical,100
ST25,SKU01046,300,71,35,2025-07-10,229,265,4.225352112676056,Low,10
ST16,SKU03441,205,48,24,2025-06-02,157,181,4.270833333333333,Low,10
ST06,SKU00538,0,98,25,2025-09-16,-98,-25,0.0,Critical,100
ST26,SKU04654,80,24,9,2025-05-11,56,71,3.3333333333333335,Low,10
ST02,SKU03277,264,44,17,2025-05-20,220,247,6.0,Low,10
ST07,SKU03621,309,58,13,2025-08-25,251,296,5.327586206896552,Low,10
ST29,SKU03905,251,58,17,2025-08-25,193,234,4.327586206896552,Low,10
ST03,SKU00240,383,95,24,2025-07-21,288,359,4.031578947368421,Low,10
ST08,SKU02570,202,44,16,2025-06-16,158,186,4.590909090909091,Low,10
ST08,SKU00584,109,23,10,2025-06-15,86,99,4.739130434782608,Low,10
ST13,SKU00699,443,77,32,2025-06-19,366,411,5.753246753246753,Low,10
ST24,SKU04729,532,93,21,2025-07-17,439,511,5.720430107526882,Low,10
ST10,SKU04831,132,23,6,2025-06-21,109,126,5.739130434782608,Low,10
ST29,SKU02858,0,79,32,2025-09-14,-79,-32,0.0,Critical,100
ST24,SKU02514,537,92,25,2025-07-30,445,512,5.836956521739131,Low,10
ST05,SKU02501,261,68,31,2025-06-12,193,230,3.838235294117647,Low,10
ST10,SKU00401,212,65,24,2025-08-30,147,188,3.2615384615384615,Low,10
ST18,SKU02211,345,69,15,2025-06-23,276,330,5.0,Low,10
ST17,SKU04955,249,51,17,2025-05-08,198,232,4.882352941176471,Low,10
ST17,SKU04726,558,96,43,2025-08-04,462,515,5.8125,Low,10
ST03,SKU04562,0,40,17,2025-08-28,-40,-17,0.0,Critical,100
ST25,SKU04321,0,68,26,2025-09-23,-68,-26,0.0,Critical,100
ST30,SKU04665,248,70,20,2025-05-24,178,228,3.5428571428571427,Low,10
ST18,SKU01164,0,26,12,2025-10-02,-26,-12,0.0,Critical,100
ST04,SKU01229,237,48,10,2025-07-18,189,227,4.9375,Low,10
ST11,SKU04157,0,93,27,2025-08-31,-93,-27,0.0,Critical,100
ST23,SKU03457,503,91,33,2025-08-13,412,470,5.527472527472527,Low,10
ST02,SKU02351,464,86,26,2025-05-12,378,438,5.395348837209302,Low,10
ST19,SKU02520,448,77,34,2025-07-09,371,414,5.818181818181818,Low,10
ST19,SKU00305,325,72,28,2025-07-19,253,297,4.513888888888889,Low,10
ST07,SKU00251,204,46,13,2025-08-16,158,191,4.434782608695652,Low,10
ST10,SKU02737,0,44,15,2025-08-28,-44,-15,0.0,Critical,100
ST13,SKU02217,506,99,26,2025-07-29,407,480,5.111111111111111,Low,10
ST13,SKU00002,0,47,14,2025-08-05,-47,-14,0.0,Critical,100
ST25,SKU03274,0,94,40,2025-09-12,-94,-40,0.0,Critical,100
ST13,SKU01988,0,22,7,2025-09-06,-22,-7,0.0,Critical,100
ST16,SKU03454,175,41,15,2025-07-02,134,160,4.2682926829268295,Low,10
ST26,SKU02681,160,35,13,2025-07-02,125,147,4.571428571428571,Low,10
ST07,SKU03634,126,33,15,2025-08-02,93,111,3.8181818181818183,Low,10
ST26,SKU00466,169,51,15,2025-06-02,118,154,3.3137254901960786,Low,10
ST02,SKU01075,243,62,16,2025-08-15,181,227,3.9193548387096775,Low,10
ST24,SKU03803,191,48,23,2025-07-19,143,168,3.9791666666666665,Low,10
ST10,SKU03905,251,68,22,2025-07-23,183,229,3.6911764705882355,Low,10
ST29,SKU04147,310,100,21,2025-07-24,210,289,3.1,Low,10
ST23,SKU01363,0,51,23,2025-09-03,-51,-23,0.0,Critical,100
ST23,SKU03349,433,79,17,2025-07-28,354,416,5.481012658227848,Low,10
ST16,SKU00421,195,62,24,2025-05-22,133,171,3.1451612903225805,Low,10
ST14,SKU01580,365,97,31,2025-07-05,268,334,3.7628865979381443,Low,10
ST22,SKU04144,209,46,21,2025-06-14,163,188,4.543478260869565,Low,10
ST05,SKU02514,174,30,14,2025-07-01,144,160,5.8,Low,10
ST29,SKU02871,364,62,14,2025-06-27,302,350,5.870967741935484,Low,10
ST04,SKU04504,120,38,10,2025-06-22,82,110,3.1578947368421053,Low,10
ST23,SKU02531,0,85,35,2025-09-09,-85,-35,0.0,Critical,100
ST23,SKU02302,106,33,13,2025-06-22,73,93,3.212121212121212,Low,10
ST19,SKU03580,108,24,5,2025-05-29,84,103,4.5,Low,10
ST05,SKU01696,249,80,24,2025-08-14,169,225,3.1125,Low,10
ST13,SKU03277,284,60,19,2025-06-13,224,265,4.733333333333333,Low,10
ST19,SKU02533,198,36,9,2025-06-30,162,189,5.5,Low,10
ST05,SKU00649,160,28,11,2025-06-07,132,149,5.714285714285714,Low,10
ST24,SKU02648,0,69,22,2025-09-07,-69,-22,0.0,Critical,100
ST03,SKU01542,381,65,16,2025-06-29,316,365,5.861538461538461,Low,10
ST09,SKU00539,0,60,28,2025-08-09,-60,-28,0.0,Critical,100
ST07,SKU03876,0,40,12,2025-09-25,-40,-12,0.0,Critical,100
ST14,SKU00654,209,64,13,2025-06-01,145,196,3.265625,Low,10
ST05,SKU03803,504,92,41,2025-07-02,412,463,5.478260869565218,Low,10
ST10,SKU04147,86,20,9,2025-08-30,66,77,4.3,Low,10
ST08,SKU01068,408,93,46,2025-05-20,315,362,4.387096774193548,Low,10
ST01,SKU02112,265,55,14,2025-08-26,210,251,4.818181818181818,Low,10
ST03,SKU02710,248,47,21,2025-07-07,201,227,5.276595744680851,Low,10
ST04,SKU03578,0,45,15,2025-08-26,-45,-15,0.0,Critical,100
ST30,SKU02584,341,57,17,2025-05-27,284,324,5.982456140350878,Low,10
ST23,SKU01605,419,75,21,2025-08-08,344,398,5.586666666666667,Low,10
ST09,SKU03693,0,44,10,2025-10-09,-44,-10,0.0,Critical,100
ST11,SKU00090,339,78,21,2025-07-21,261,318,4.346153846153846,Low,10
ST14,SKU01822,94,30,12,2025-07-06,64,82,3.1333333333333333,Low,10
ST08,SKU04222,330,84,18,2025-08-24,246,312,3.9285714285714284,Low,10
ST13,SKU02351,131,39,11,2025-08-15,92,120,3.358974358974359,Low,10
ST04,SKU02531,0,31,7,2025-08-17,-31,-7,0.0,Critical,100
ST21,SKU03932,405,93,32,2025-07-20,312,373,4.354838709677419,Low,10
ST24,SKU04166,0,100,47,2025-09-10,-100,-47,0.0,Critical,100
ST19,SKU03822,239,65,26,2025-05-24,174,213,3.6769230769230767,Low,10
ST17,SKU01009,0,97,23,2025-10-03,-97,-23,0.0,Critical,100
ST15,SKU04346,0,85,37,2025-09-29,-85,-37,0.0,Critical,100
ST03,SKU00845,0,72,27,2025-10-01,-72,-27,0.0,Critical,100
ST18,SKU03863,108,28,10,2025-05-17,80,98,3.857142857142857,Low,10
ST25,SKU02590,219,38,18,2025-08-13,181,201,5.7631578947368425,Low,10
ST18,SKU03634,319,79,17,2025-08-18,240,302,4.037974683544304,Low,10
ST07,SKU02950,0,94,21,2025-09-25,-94,-21,0.0,Critical,100
ST03,SKU01784,0,51,22,2025-08-24,-51,-22,0.0,Critical,100
